"ID","Type","Area.perforation","Circumference.perforation"
"ARCH_13","Archaeological",2.53,6.39
"ARCH_17","Archaeological",5.55,9.02
"ARCH_25","Archaeological",6.45,11.79
"ARCH_40","Archaeological",4.32,7.82
"ARCH_44","Archaeological",2.18,5.9
"ARCH_45","Archaeological",7.17,10.64
"ARCH_46","Archaeological",3.97,7.77
"ARCH_48","Archaeological",5.96,9.19
"ARCH_49","Archaeological",4.96,8.51
"ARCH_50","Archaeological",4.54,8.06
"ARCH_51","Archaeological",6.06,9.28
"ARCH_52","Archaeological",2.75,6.82
"ARCH_53","Archaeological",4.51,8.38
"ARCH_54","Archaeological",4.64,8.18
"ARCH_58","Archaeological",2.11,5.48
"ARCH_62","Archaeological",5.85,9.5
"ARCH_65","Archaeological",5.02,8.45
"ARCH_66","Archaeological",3.1,6.43
"ARCH_67","Archaeological",6.87,10.33
"ARCH_68","Archaeological",4.76,8.26
"ARCH_69","Archaeological",4.24,7.96
"ARCH_70","Archaeological",4.96,8.24
"ARCH_71","Archaeological",5.98,9.54
"ARCH_73","Archaeological",2.7,6.48
"ARCH_75","Archaeological",7.27,10.58
"ARCH_77","Archaeological",3.96,7.45
"ARCH_79","Archaeological",6,9.58
"ARCH_81","Archaeological",2.43,6.25
"ARCH_83","Archaeological",3.23,7.41
"ARCH_86","Archaeological",5.99,9.55
"ARCH_87","Archaeological",10.41,12.18
"ARCH_88","Archaeological",3.2,6.77
"ARCH_89","Archaeological",4.06,7.57
"ARCH_93","Archaeological",4.63,8.27
"ARCH_94","Archaeological",5.24,8.61
"ARCH_95","Archaeological",3.24,7.49
"ARCH_96","Archaeological",5.19,9.02
"ARCH_97","Archaeological",7.08,10.46
"ARCH_98","Archaeological",2.73,6.27
"ARCH_101","Archaeological",2.74,6.28
"ARCH_102","Archaeological",5.15,8.87
"ARCH_103","Archaeological",6.75,11.15
"ARCH_104","Archaeological",6.58,13.58
"ARCH_107","Archaeological",1.7,5.07
"ARCH_108","Archaeological",1.7,5.31
"ARCH_113","Archaeological",5.38,8.84
"EXP_72","Experimental",11.93,13.97
"EXP_78","Experimental",5.39,9.14
"EXP_86","Experimental",5.38,10.45
"EXP_90","Experimental",7.07,10.93
"EXP_95","Experimental",3.13,6.84
"EXP_97","Experimental",3.99,8.09
"EXP_104","Experimental",5.04,8.58
"EXP_125","Experimental",2.61,6.72
"EXP_128","Experimental",1.34,4.54
"EXP_135","Experimental",2.52,6.51
"EXP_136","Experimental",1.16,4.29
"EXP_137","Experimental",2.97,6.9
"EXP_141","Experimental",2.34,6.01
"EXP_145","Experimental",3.53,7.55
"EXP_146","Experimental",10.71,12.74
"EXP_147","Experimental",3.02,6.91
"EXP_148","Experimental",1.18,4.23
"EXP_150","Experimental",2.33,6.04
"EXP_156","Experimental",2.59,6.17
"EXP_157","Experimental",2.41,6.22
"EXP_158","Experimental",2.27,6.54
"EXP_163","Experimental",5.84,9.45
"EXP_166","Experimental",10.15,12.85
"EXP_167","Experimental",7.65,10.76
"EXP_170","Experimental",9.95,12.58
"EXP_194","Experimental",3.54,8.2
"EXP_195","Experimental",3.22,7.25
"EXP_198","Experimental",5.02,10.2
"EXP_201","Experimental",7.59,10.33
"NAT_11","Natural",0.42,2.85
"NAT_16","Natural",8.31,11.57
"NAT_48","Natural",2.1,5.92
"NAT_69","Natural",5.05,9.62
"NAT_76","Natural",1.57,4.96
"NAT_80","Natural",9.7,12.51
"NAT_91","Natural",0.25,2.01
"NAT_92","Natural",7.6,11.21
"NAT_109","Natural",1.29,4.5
"NAT_112","Natural",0.21,2.06
"NAT_8R","Natural",45.51,27.08
"NAT_1R","Natural",2.63,7.36
"NAT_4R","Natural",8.89,12.48
"NAT_5R","Natural",1.94,5.59
"NAT_2R","Natural",2.35,6.36
"NAT_6R","Natural",34.88,26.12
"NAT_7R","Natural",17.37,17.77
"NAT_3R","Natural",9.94,13.48
"NAT_9R","Natural",16.6,17.77
"NAT_2","Natural",2.61,6.22
"NAT_3","Natural",6.32,10.36
"NAT_4","Natural",4.7,8.5
"NAT_5","Natural",13.22,14.24
"NAT_6","Natural",5.28,9.03
"NAT_7","Natural",19.69,18.9
"NAT_175","Natural",2.49,6.87
"NAT_10R","Natural",7.73,11.14
"NAT_11R","Natural",7.55,11.2
"NAT_12R","Natural",1.12,4.56
"NAT_13R","Natural",7.89,10.64
"NAT_14R","Natural",9.6,12.54
"EXP_103","Experimental",4.96,9.17
"EXP_151","Experimental",5.37,8.95
"EXP_154","Experimental",2.31,5.92
"EXP_164","Experimental",4.4,8.54
"EXP_165","Experimental",4.45,9.49
"EXP_169","Experimental",5.33,9.74
"EXP_180","Experimental",4.18,8.48
"EXP_184","Experimental",4.63,8.2
"EXP_186","Experimental",9.44,12.26
"EXP_190","Experimental",5.95,9.88
"EXP_200","Experimental",7.66,11.42
